,,,,,,,,,
,,, Financial Loss (in Million $),,,,,,
Sum - Financial Loss (in Million $),Attack Type,,,,,,,,
Country,DDoS,Malware,Man-in-the-Middle,Phishing,Ransomware,SQL Injection,Total Result,Proportion,IF ANALYSIS
USA,3233.03,1991.86,1991.52,2785.34,2660.33,2150.04,14812.12,9.8,HIGHER
UK,3143.2,2528.71,2531.63,3128.33,2491.42,2679.7,16502.99,9.9,HIGHER
Russia,2925.27,2446.15,2471.18,1767.5,2859.24,2265.39,14734.73,9.10,HIGHER
Japan,2515.52,2094.56,2626.23,3141.36,2125.44,2694.23,15197.34,9.11,HIGHER
India,2299.43,2097,2376.06,2313.18,2678.64,2801.81,14566.12,9.12,HIGHER
Germany,2188.92,2726.08,2986.04,2396.63,2269.19,3226.38,15793.24,9.13,HIGHER
France,2504.98,2223.92,1891.18,3170.87,2657.22,2524.11,14972.28,9.14,HIGHER
China,3665.38,2276.29,1981.22,2143.74,2566.17,2081.67,13714.47,9.15,HIGHER
Brazil,3083.66,2557.21,2160.92,2934.49,2152.6,2893.74,15782.62,9.16,HIGHER
Australia,3071.53,3026.17,2534.89,2911.85,2019.07,1839.49,15403,9.17,HIGHER
Total Result,27630.92,23967.95,23550.87,26693.29,24479.32,25156.56,151478.91,9.18,HIGHER
,,,,,,,,,
ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,ANALYSIS,
,,,,,,,,,
XLOOKUP,SEARCH,,IF ,,,,,,
COUNTRY,CHINA,,COUNTRY,,,,,,
DdoS amount scammed,3665.38,,,,,,,,
Malware,2276.29,,,,,,,,
Man-in-the-Middle,1981.22,,,,,,,,
Phishing,2143.74,,,,,,,,
Rasomware,2566.17,,,,,,,,
SQL Injection,2081.67,,,,,,,,
Total Result,14714.47,,,,,,,,
PROPORTION,9.71%,,,,,,,,
